Name		Guthling	: {	1	:{
24	: ?	CALM MIND	?.		
28	: ?	BRINE	?.		
32	: ?	AIR SLASH	?.		
36	: ?	SPARKLING ARIA	?.		
43	: ?	INSTRUCT	?.		
45	: ?	BRAVE BIRD	?.		
50	: ?	AQUA RING	?.		}.}.
Name		Saraowl	: {	9	:{
1	: ?	HURRICANE	?.		
1	: ?	PECK	?.		
1	: ?	GROWL	?.		
1	: ?	BUBBLE	?.		
1	: ?	sand ATTACK	?.		
7	: ?	BUBBLE BEAM	?.		
14	: ?	PLUCK	?.		
19	: ?	FURY ATTACK	?.		
24	: ?	CALM MIND	?.		
28	: ?	BRINE	?.		
32	: ?	AIR SLASH	?.		
36	: ?	SPARKLING ARIA	?.		
40	: ?	RAIN DANCE	?.		
43	: ?	INSTRUCT	?.		
48	: ?	BRAVE BIRD	?.		
51	: ?	AQUA RING	?.		}.}.
Name		Chick	: {	10	:{
1	: ?	PECK	?.		
1	: ?	LEER	?.		
4	: ?	MIRROR MOVE	?.		
8	: ?	TACKLE	?.		
11	: ?	FEATHERDANCE	?.		
15	: ?	PLUCK	?.		
18	: ?	FURY ATTACK	?.		
22	: ?	ROOST	?.		
25	: ?	EGG BOMB	?.		
29	: ?	AERIAL ACE	?.		
32	: ?	AGILITY	?.		
36	: ?	SOFTBOILED	?.		}.}.
Name		Chicken_Normal_Form	: {	11*	:{
1	: ?	DRILL PECK	?.		
1	: ?	PECK	?.		
1	: ?	SOFTBOILED	?.		
1	: ?	LEER	?.		
1	: ?	MIRROR MOVE	?.		
4	: ?	TACKLE	?.		
8	: ?	FEATHERDANCE	?.		
11	: ?	PLUCK	?.		
18	: ?	FURY ATTACK	?.		
21	: ?	ROOST	?.		
23	: ?	AERIAL ACE	?.		
26	: ?	EGG BOMB	?.		
32	: ?	AIR CUTTER	?.		
36	: ?	AGILITY	?.		
41	: ?	SOFTBOILED	?.		
45	: ?	DRILL PECK	?.		}.}.
Name		Chicken_Varrock_Form	: {	11*	:{
1	: ?	DRILL PECK	?.		
1	: ?	PECK	?.		
1	: ?	SOFTBOILED	?.		
1	: ?	LEER	?.		
1	: ?	MIRROR MOVE	?.		
4	: ?	TACKLE	?.		
8	: ?	FEATHERDANCE	?.		
11	: ?	PLUCK	?.		
18	: ?	FURY ATTACK	?.		
21	: ?	ROOST	?.		
23	: ?	AERIAL ACE	?.		
26	: ?	EGG BOMB	?.		
32	: ?	AIR CUTTER	?.		
36	: ?	BULK UP	?.		
41	: ?	SOFTBOILED	?.		
45	: ?	DRILL PECK	?.		}.}.
Name		Chicken_Karamja_Form	: {	11*	:{
1	: ?	DRILL PECK	?.		
1	: ?	PECK	?.		
1	: ?	SOFTBOILED	?.		
1	: ?	LEER	?.		
1	: ?	MIRROR MOVE	?.		
4	: ?	TACKLE	?.		
8	: ?	FEATHERDANCE	?.		
11	: ?	PLUCK	?.		
18	: ?	FURY ATTACK	?.		
21	: ?	ROOST	?.		
23	: ?	AERIAL ACE	?.		
26	: ?	EGG BOMB	?.		
32	: ?	AIR CUTTER	?.		
36	: ?	AMNESIA	?.		
41	: ?	SOFTBOILED	?.		
45	: ?	DRILL PECK	?.		}.}.
Name		Chicken_Bandosian_Form	: {	11*	:{
1	: ?	DRILL PECK	?.		
1	: ?	PECK	?.		
1	: ?	SOFTBOILED	?.		
1	: ?	LEER	?.		
1	: ?	MIRROR MOVE	?.		
4	: ?	TACKLE	?.		
8	: ?	FEATHERDANCE	?.		
11	: ?	PLUCK	?.		
18	: ?	FURY ATTACK	?.		
21	: ?	ROOST	?.		
23	: ?	AERIAL ACE	?.		
26	: ?	EGG BOMB	?.		
32	: ?	AIR CUTTER	?.		
36	: ?	SWORDS DANCE	?.		
41	: ?	SOFTBOILED	?.		
45	: ?	DRILL PECK	?.		}.}.
Name		Dreadfowl	: {	12	:{
1	: ?	DRILL PECK	?.		
1	: ?	PECK	?.		
1	: ?	SOFTBOILED	?.		
1	: ?	LEER	?.		
1	: ?	MIRROR MOVE	?.		
5	: ?	TACKLE	?.		
8	: ?	FEATHERDANCE	?.		
12	: ?	PLUCK	?.		
18	: ?	FURY ATTACK	?.		
24	: ?	AERIAL ACE	?.		
27	: ?	ROOST	?.		
33	: ?	EGG BOMB	?.		
37	: ?	AGILITY	?.		
42	: ?	SOFTBOILED	?.		
47	: ?	DRILL PECK	?.		
51	: ?	SKY ATTACK	?.		}.}.
Name		Diving_Chicken	: {	13	:{
1	: ?	DRILL PECK	?.		
1	: ?	PECK	?.		
1	: ?	SOFTBOILED	?.		
1	: ?	SOAK	?.		
1	: ?	BUBBLE 	?.		
5	: ?	TACKLE	?.		
8	: ?	BUBBLEBEAM	?.		
12	: ?	PLUCK	?.		
18	: ?	FURY ATTACK	?.		
24	: ?	ROOST	?.		
27	: ?	AERIAL ACE	?.		
33	: ?	DIVE	?.		
37	: ?	RAIN DANCE	?.		
42	: ?	DRILL PECK	?.		
47	: ?	SOFTBOILED	?.		
51	: ?	HYDRO PUMP	?.		}.}.
Name		Rooster_Normal_Form	: {	14*	:{
1	: ?	HIGH JUMP KICK	?.		
1	: ?	PECK	?.		
1	: ?	DRILL PECK	?.		
1	: ?	HOWL	?.		
1	: ?	LEER	?.		
4	: ?	TACKLE	?.		
8	: ?	FEATHERDANCE	?.		
11	: ?	FURY ATTACK	?.		
18	: ?	JUMP KICK	?.		
23	: ?	ROOST 	?.		
26	: ?	WING ATTACK	?.		
32	: ?	AERIAL ACE	?.		
36	: ?	HIGH JUMP KICK	?.		
41	: ?	AGILITY	?.		
45	: ?	DRILL PECK	?.		}.}.
Name		Rooster_Varrock_Form	: {	14*	:{
1	: ?	HIGH JUMP KICK	?.		
1	: ?	PECK	?.		
1	: ?	DRILL PECK	?.		
1	: ?	HOWL	?.		
1	: ?	LEER	?.		
4	: ?	TACKLE	?.		
8	: ?	FEATHERDANCE	?.		
11	: ?	FURY ATTACK	?.		
18	: ?	JUMP KICK	?.		
23	: ?	ROOST 	?.		
26	: ?	WING ATTACK	?.		
32	: ?	AERIAL ACE	?.		
36	: ?	HIGH JUMP KICK	?.		
41	: ?	BULK UP	?.		
45	: ?	DRILL PECK	?.		}.}.
Name		Rooster_Karamja_Form	: {	14*	:{
1	: ?	HIGH JUMP KICK	?.		
1	: ?	PECK	?.		
1	: ?	DRILL PECK	?.		
1	: ?	HOWL	?.		
1	: ?	LEER	?.		
4	: ?	TACKLE	?.		
8	: ?	FEATHERDANCE	?.		
11	: ?	FURY ATTACK	?.		
18	: ?	JUMP KICK	?.		
23	: ?	ROOST 	?.		
26	: ?	WING ATTACK	?.		
32	: ?	AERIAL ACE	?.		
36	: ?	HIGH JUMP KICK	?.		
41	: ?	AMNESIA	?.		
45	: ?	DRILL PECK	?.		}.}.
Name		Rooster_Bandosian_Form	: {	14*	:{
1	: ?	HIGH JUMP KICK	?.		
1	: ?	PECK	?.		
1	: ?	DRILL PECK	?.		
1	: ?	HOWL	?.		
1	: ?	LEER	?.		
4	: ?	TACKLE	?.		
8	: ?	FEATHERDANCE	?.		
11	: ?	FURY ATTACK	?.		
18	: ?	JUMP KICK	?.		
23	: ?	ROOST 	?.		
26	: ?	WING ATTACK	?.		
32	: ?	AERIAL ACE	?.		
36	: ?	HIGH JUMP KICK	?.		
41	: ?	SWORDS DANCE	?.		
45	: ?	DRILL PECK	?.		}.}.
Name		Oomlie	: {	15	:{
1	: ?	HIGH JUMP KICK	?.		
1	: ?	PECK	?.		
1	: ?	DRILL PECK	?.		
1	: ?	HOWL	?.		
1	: ?	LEER	?.		
5	: ?	TACKLE	?.		
8	: ?	FEATHERDANCE	?.		
12	: ?	FURY ATTACK	?.		
18	: ?	JUMP KICK	?.		
24	: ?	WING ATTACK	?.		
27	: ?	ROOST	?.		
33	: ?	AERIAL ACE	?.		
37	: ?	AGILITY	?.		
42	: ?	HIGH JUMP KICK	?.		
47	: ?	DRILL PECK	?.		
51	: ?	CLOSE COMBAT	?.		}.}.
Name		Ernest	: {	16	:{
1	: ?	PSYCHO CUT	?.		
1	: ?	PECK	?.		
1	: ?	DRILL PECK	?.		
1	: ?	HOWL	?.		
1	: ?	LEER	?.		
5	: ?	TACKLE	?.		
8	: ?	FEATHERDANCE	?.		
12	: ?	FURY ATTACK	?.		
18	: ?	PSYWAVE	?.		
24	: ?	ROOST 	?.		
27	: ?	WING ATTACK	?.		
33	: ?	PSYCHIC	?.		
37	: ?	AGILITY	?.		
42	: ?	BATON PASS	?.		
47	: ?	DRILL PECK	?.		
51	: ?	U TURN	?.		}.}.
Name		Undead_Chicken	: {	17	:{
1	: ?	DRILL PECK	?.		
1	: ?	PECK	?.		
1	: ?	SMACK DOWN	?.		
1	: ?	GRUDGE	?.		
1	: ?	DESTINY BOND	?.		
5	: ?	TACKLE	?.		
8	: ?	BONEMERANG	?.		
12	: ?	PLUCK	?.		
18	: ?	FURY ATTACK	?.		
24	: ?	SNARL	?.		
27	: ?	HEX	?.		
33	: ?	AERIAL ACE	?.		
37	: ?	NASTY PLOT	?.		
42	: ?	SHADOW CLAW	?.		
47	: ?	ROOST 	?.		
51	: ?	PHANTOM FORCE	?.		}.}.
Name		Lizard_Chicken	: {	18	:{
1	: ?	DRILL PECK	?.		
1	: ?	PECK	?.		
1	: ?	SWALLOW	?.		
1	: ?	AGILITY	?.		
1	: ?	GUST	?.		
5	: ?	TACKLE	?.		
8	: ?	WHIRLWIND	?.		
12	: ?	PLUCK	?.		
18	: ?	FURY ATTACK	?.		
24	: ?	BULLDOZE	?.		
27	: ?	ROOST	?.		
33	: ?	AERIAL ACE	?.		
37	: ?	SAND TOMB	?.		
42	: ?	STOCKPILE	?.		
46	: ?	DRILL PECK	?.		
50	: ?	SANDSTORM	?.		}.}.
Name		Swordchick	: {	19	:{
1	: ?	SPLASH	?.		
1	: ?	DRILL PECK	?.		
1	: ?	PECK	?.		
1	: ?	LEER	?.		
1	: ?	LIQUIDATION	?.		
4	: ?	TACKLE	?.		
8	: ?	FEATHERDANCE	?.		
11	: ?	SLASH	?.		
18	: ?	PLUCK	?.		
23	: ?	ROOST	?.		
26	: ?	SLASH	?.		
32	: ?	RAZOR SHELL	?.		
36	: ?	SWORDS DANCE	?.		
41	: ?	AERIAL ACE	?.		
45	: ?	DRILL PECK	?.		}.}.
Name		Newtroost	: {	20	:{
1	: ?	DRAGON RUSH	?.		
1	: ?	PECK	?.		
1	: ?	DRILL PECK	?.		
1	: ?	HOWL	?.		
1	: ?	LEER	?.		
4	: ?	RAGE	?.		
8	: ?	FEATHERDANCE	?.		
11	: ?	FURY ATTACK	?.		
19	: ?	DRAGONBREATH	?.		
23	: ?	ROOST 	?.		
26	: ?	MEGA PUNCH	?.		
32	: ?	TAUNT	?.		
36	: ?	DRAGON DANCE	?.		
41	: ?	DRAGON PULSE	?.		
45	: ?	DRILL PECK	?.		}.}.
Name		Evil_Chicken	: {	21	:{
1	: ?	DARK PULSE	?.		
1	: ?	SCRATCH	?.		
1	: ?	CONFUSION	?.		
5	: ?	BITE	?.		
10	: ?	HOWL	?.		
15	: ?	PECK	?.		
20	: ?	PSYBEAM	?.		
25	: ?	SCREECH	?.		
30	: ?	DARK VOID	?.		
35	: ?	PSYCHIC	?.		
40	: ?	FEATHERDANCE	?.		
45	: ?	HYPER VOICE	?.		
50	: ?	DRILL PECK	?.		
55	: ?	DARK PULSE	?.		
65	: ?	FOUL PLAY	?.		
70	: ?	ROOST	?.		
75	: ?	PSYSTRIKE	?.		}.}.
Name		Calf	: {	22	:{
1	: ?	TACKLE	?.		
1	: ?	MUD SPORT	?.		
4	: ?	MUD SLAP	?.		
7	: ?	LEER	?.		
10	: ?	HEADBUTT	?.		
13	: ?	MUD SHOT	?.		
16	: ?	CAPTIVATE	?.		
19	: ?	SKULL BASH	?.		
22	: ?	MAGNITUDE	?.		
25	: ?	MILK DRINK	?.		
28	: ?	CHARM	?.		
31	: ?	HEAL BELL	?.		
34	: ?	EARTHQUAKE	?.		}.}.
Name		Cow	: {	23	:{
1	: ?	MILK DRINK	?.		
1	: ?	MUD SPORT	?.		
1	: ?	PLAY ROUGH	?.		
1	: ?	MUD SLAP	?.		
1	: ?	TACKLE	?.		
4	: ?	LEER	?.		
7	: ?	HEADBUTT	?.		
10	: ?	MUD SHOT	?.		
13	: ?	CAPTIVATE	?.		
16	: ?	REST	?.		
19	: ?	SKULL BASH	?.		
24	: ?	MAGNITUDE	?.		
29	: ?	MILK DRINK	?.		
34	: ?	BODY SLAM	?.		
39	: ?	PLAY ROUGH	?.		
44	: ?	EARTHQUAKE	?.		}.}.
Name		Bull	: {	24	:{
1	: ?	JUMP KICK	?.		
1	: ?	MUD SPORT	?.		
1	: ?	RAGE	?.		
1	: ?	MUD SLAP	?.		
1	: ?	HORN ATTACK	?.		
4	: ?	HOWL	?.		
7	: ?	HEADBUTT	?.		
10	: ?	MUD SHOT	?.		
13	: ?	RAGE	?.		
16	: ?	REST	?.		
19	: ?	SKULL BASH	?.		
24	: ?	MAGNITUDE	?.		
29	: ?	JUMP KICK	?.		
34	: ?	BODY SLAM	?.		
39	: ?	CLOSE COMBAT	?.		
44	: ?	EARTHQUAKE	?.		}.}.
Name		Skeletal_Ox_Male_Form	: {	25*	:{
1	: ?	PHANTOM FORCE	?.		
1	: ?	MUD SPORT	?.		
1	: ?	RAGE	?.		
1	: ?	MUD SLAP	?.		
1	: ?	HORN ATTACK	?.		
4	: ?	HOWL	?.		
7	: ?	HEADBUTT	?.		
10	: ?	MUD SHOT	?.		
13	: ?	RAGE	?.		
16	: ?	REST	?.		
19	: ?	SKULL BASH	?.		
24	: ?	BONE RUSH	?.		
29	: ?	JUMP KICK	?.		
34	: ?	BODY SLAM	?.		
39	: ?	PHANTOM FORCE	?.		
44	: ?	EARTHQUAKE	?.		}.}.
Name		Skeletal_Ox_Female_Form	: {	25*	:{
1	: ?	PHANTOM FORCE	?.		
1	: ?	MUD SPORT	?.		
1	: ?	ATTRACT	?.		
1	: ?	MUD SLAP	?.		
1	: ?	HORN ATTACK	?.		
4	: ?	HOWL	?.		
7	: ?	HEADBUTT	?.		
10	: ?	MUD SHOT	?.		
13	: ?	ATTRACT	?.		
16	: ?	REST	?.		
19	: ?	SKULL BASH	?.		
24	: ?	BONE RUSH	?.		
29	: ?	JUMP KICK	?.		
34	: ?	BODY SLAM	?.		
39	: ?	PHANTOM FORCE	?.		
44	: ?	EARTHQUAKE	?.		}.}.
Name		Undead_Cow	: {	26	:{
1	: ?	MILK DRINK	?.		
1	: ?	MUD SPORT	?.		
1	: ?	PLAY ROUGH	?.		
1	: ?	MUD SLAP	?.		
1	: ?	TACKLE	?.		
4	: ?	LEER	?.		
7	: ?	HEADBUTT	?.		
10	: ?	MUD SHOT	?.		
13	: ?	CAPTIVATE	?.		
16	: ?	REST	?.		
19	: ?	SKULL BASH	?.		
24	: ?	BONE RUSH	?.		
29	: ?	MILK DRINK	?.		
34	: ?	PHANTOM FORCE	?.		
39	: ?	SHADOW BALL	?.		
44	: ?	EARTHQUAKE	?.		}.}.
Name		Unicow	: {	27	:{
1	: ?	MUD SPORT	?.		
1	: ?	TACKLE	?.		
5	: ?	LEER	?.		
7	: ?	AROMATHERAPY	?.		
11	: ?	DISARMING VOICE	?.		
13	: ?	HEAL BELL	?.		
17	: ?	HORN ATTACK	?.		
19	: ?	MILK DRINK	?.		
24	: ?	DAZZLING GLEAM	?.		
27	: ?	RECOVER	?.		
32	: ?	SKULL BASH	?.		
35	: ?	MAGNITUDE	?.		
40	: ?	HEAL PULSE	?.		
43	: ?	LIGHT SCREEN	?.		
48	: ?	MOONBLAST	?.		
51	: ?	MEGAHORN	?.		}.}.
Name		Crayfish	: {	28	:{
1	: ?	FURY CUTTER	?.		
5	: ?	BUBBLE	?.		
7	: ?	HARDEN	?.		
11	: ?	VICE GRIP	?.		
13	: ?	WIDE GUARD	?.		
17	: ?	LEER	?.		
18	: ?	SLAM	?.		
23	: ?	BUBBLEBEAM	?.		
25	: ?	MUD SHOT	?.		
29	: ?	CRABHAMMER	?.		
31	: ?	SWORDS DANCE	?.		
35	: ?	X SCISSOR	?.		
37	: ?	LIQUIDATION	?.		}.}.
Name		Shrimp	: {	29	:{
1	: ?	STRUGGLE BUG	?.		
1	: ?	SPLASH	?.		
5	: ?	HARDEN	?.		
7	: ?	ROCK SMASH	?.		
11	: ?	WIDE GUARD	?.		
13	: ?	LEER	?.		
18	: ?	SLAM	?.		
21	: ?	BUBBLEBEAM	?.		
26	: ?	MUD SHOT	?.		
29	: ?	MUD SPORT	?.		
34	: ?	SWORDS DANCE	?.		
43	: ?	BIND	?.		
45	: ?	X SCISSOR	?.		
50	: ?	SOAK	?.		
53	: ?	LIQUIDATION	?.		}.}.
Name		Lobster	: {	30	:{
1	: ?	CRABHAMMER	?.		
1	: ?	FURY CUTTER	?.		
1	: ?	BUBBLE 	?.		
10	: ?	VICE GRIP	?.		
12	: ?	WIDE GUARD	?.		
15	: ?	LEER	?.		
21	: ?	SLAM	?.		
23	: ?	BUBBLEBEAM	?.		
27	: ?	MUD SHOT	?.		
30	: ?	SOAK	?.		
36	: ?	SWORDS DANCE	?.		
38	: ?	IRON DEFENSE	?.		
43	: ?	CRABHAMMER	?.		
46	: ?	X SCISSOR	?.		
49	: ?	SKULL BASH	?.		
53	: ?	LIQUIDATION	?.		}.}.
Name		Rat	: {	31	:{
1	: ?	TACKLE	?.		
1	: ?	TAIL WHIP	?.		
4	: ?	BITE	?.		
7	: ?	FOCUS ENERGY	?.		
10	: ?	QUICK ATTACK	?.		
13	: ?	SUPER FANG	?.		
16	: ?	ENDEAVOR	?.		
19	: ?	HYPER FANG	?.		
22	: ?	CRUNCH	?.		
25	: ?	FOUL PLAY	?.		
28	: ?	WORK UP	?.		
31	: ?	DOUBLE EDGE	?.		
34	: ?	AGILITY	?.		}.}.
Name		Giant Rat	: {	32	:{
1	: ?	DOUBLE EDGE	?.		
1	: ?	POWER TRIP	?.		
1	: ?	TAUNT	?.		
1	: ?	TACKLE	?.		
1	: ?	TAIL WHIP	?.		
4	: ?	BITE	?.		
7	: ?	FOCUS ENERGY	?.		
10	: ?	POISON FANG	?.		
13	: ?	SUPER FANG	?.		
16	: ?	HYPER FANG	?.		
19	: ?	ENDEAVOR	?.		
24	: ?	CRUNCH	?.		
29	: ?	WORK UP	?.		
34	: ?	FOUL PLAY	?.		
39	: ?	DOUBLE EDGE	?.		
44	: ?	AGILITY	?.		}.}.
Name		Experiment_2	: {	33	:{
1	: ?	DOUBLE EDGE	?.		
1	: ?	POWER TRIP	?.		
1	: ?	BULLET SEED	?.		
1	: ?	TAIL SLAP	?.		
1	: ?	SMACK DOWN	?.		
5	: ?	BITE	?.		
9	: ?	FOCUS ENERGY	?.		
10	: ?	POISON FANG	?.		
13	: ?	SUPER FANG	?.		
16	: ?	HYPER FANG	?.		
19	: ?	ENDEAVOR	?.		
24	: ?	CRUNCH	?.		
32	: ?	RECYCLE	?.		
36	: ?	SEED BOMB	?.		
39	: ?	DOUBLE EDGE	?.		
44	: ?	LOCK ON	?.		
50	: ?	LEAF STORM	?.		}.}.
Name		Brine_Rat	: {	34	:{
1	: ?	DOUBLE EDGE	?.		
1	: ?	POWER TRIP	?.		
1	: ?	WATER GUN	?.		
1	: ?	TACKLE	?.		
1	: ?	SMACK DOWN	?.		
5	: ?	BITE	?.		
9	: ?	FOCUS ENERGY	?.		
10	: ?	DIVE	?.		
13	: ?	SUPER FANG	?.		
16	: ?	HYPER FANG	?.		
19	: ?	ENDEAVOR	?.		
24	: ?	CRUNCH	?.		
32	: ?	WATER SPORT	?.		
36	: ?	AQUA TAIL	?.		
39	: ?	DOUBLE EDGE	?.		
44	: ?	SOAK	?.		
50	: ?	HYDRO PUMP	?.		}.}.
Name		Albino_Rat	: {	35	:{
1	: ?	DOUBLE EDGE	?.		
1	: ?	POWER TRIP	?.		
1	: ?	TAUNT	?.		
1	: ?	TACKLE	?.		
1	: ?	TAIL WHIP	?.		
5	: ?	BITE	?.		
9	: ?	FOCUS ENERGY	?.		
10	: ?	POISON FANG	?.		
13	: ?	SUPER FANG	?.		
16	: ?	HYPER FANG	?.		
19	: ?	ENDEAVOR	?.		
24	: ?	CRUNCH	?.		
32	: ?	WORK UP	?.		
36	: ?	FOUL PLAY	?.		
39	: ?	DOUBLE EDGE	?.		
44	: ?	AGILITY	?.		
50	: ?	PSYCHIC FANGS	?.		}.}.
Name		Hell_Rat	: {	36	:{
1	: ?	DOUBLE EDGE	?.		
1	: ?	POWER TRIP	?.		
1	: ?	TAUNT	?.		
1	: ?	BULLET SEED	?.		
1	: ?	TAIL WHIP	?.		
4	: ?	BITE	?.		
7	: ?	FOCUS ENERGY	?.		
10	: ?	WILL O WISP	?.		
13	: ?	SUPER FANG	?.		
16	: ?	HYPER FANG	?.		
19	: ?	FIRE FANG	?.		
24	: ?	CRUNCH	?.		
29	: ?	WORK UP	?.		
34	: ?	FOUL PLAY	?.		
39	: ?	FLARE BLITZ	?.		
44	: ?	DOUBLE TEAM	?.		}.}.
Name		Giant_Hell_Rat	: {	37	:{
1	: ?	DOUBLE EDGE	?.		
1	: ?	POWER TRIP	?.		
1	: ?	TAUNT	?.		
1	: ?	TACKLE	?.		
1	: ?	TAIL WHIP	?.		
5	: ?	BITE	?.		
9	: ?	FOCUS ENERGY	?.		
10	: ?	WILL O WISP	?.		
13	: ?	SUPER FANG	?.		
16	: ?	HYPER FANG	?.		
19	: ?	FIRE FANG	?.		
24	: ?	CRUNCH	?.		
32	: ?	WORK UP	?.		
36	: ?	FOUL PLAY	?.		
39	: ?	DOUBLE EDGE	?.		
44	: ?	FLARE BLITZ	?.		
50	: ?	INFERNO	?.		}.}.
Name		Shell_Rat	: {	38	:{
1	: ?	DOUBLE EDGE	?.		
1	: ?	POWER TRIP	?.		
1	: ?	TAUNT	?.		
1	: ?	TACKLE	?.		
1	: ?	IRON DEFENSE	?.		
5	: ?	BITE	?.		
9	: ?	FOCUS ENERGY	?.		
10	: ?	WILL O WISP	?.		
13	: ?	SUPER FANG	?.		
16	: ?	HYPER FANG	?.		
19	: ?	FIRE FANG	?.		
24	: ?	CRUNCH	?.		
32	: ?	WORK UP	?.		
36	: ?	FOUL PLAY	?.		
39	: ?	IRON DEFENSE	?.		
44	: ?	FLAMETHROWER	?.		
50	: ?	INFERNO	?.		}.}.
Name		Dungeon_Rat	: {	39	:{
1	: ?	DOUBLE EDGE	?.		
1	: ?	POWER TRIP	?.		
1	: ?	INFESTATION	?.		
1	: ?	TACKLE	?.		
1	: ?	TAIL WHIP	?.		
5	: ?	BITE	?.		
9	: ?	FOCUS ENERGY	?.		
10	: ?	POISON FANG	?.		
13	: ?	SUPER FANG	?.		
16	: ?	HYPER FANG	?.		
19	: ?	ENDEAVOR	?.		
24	: ?	CRUNCH	?.		
32	: ?	ACID SPRAY	?.		
36	: ?	FOUL PLAY	?.		
39	: ?	DOUBLE EDGE	?.		
44	: ?	TOXIC	?.		
50	: ?	SLUDGE BOMB	?.		}.}.
Name		Crypt_Rat	: {	40	:{
1	: ?	DOUBLE EDGE	?.		
1	: ?	ENDEAVOR	?.		
1	: ?	TAUNT	?.		
1	: ?	TACKLE	?.		
1	: ?	SHARPEN	?.		
4	: ?	BITE	?.		
7	: ?	FOCUS ENERGY	?.		
10	: ?	POISON FANG	?.		
13	: ?	SUPER FANG	?.		
16	: ?	HYPER FANG	?.		
19	: ?	SHADOW SNEAK	?.		
24	: ?	CRUNCH	?.		
29	: ?	WORK UP	?.		
34	: ?	FOUL PLAY	?.		
39	: ?	DOUBLE EDGE	?.		
44	: ?	SWORDS DANCE	?.		}.}.
