, , , , , , , BASE STATS, , , , , , , , EXTRA INFORMATION, , , , , , , , , , , , EFFORT VALUES, , , , , , , Unnecessary Information, , , , , 
15, Chicken_Karamja_Form, NORMAL, FLYING, EARLY_BIRD, KEEN_EYE, , 360, 75, 50, 60, 40, 60, 75, , -, -, 131, medium slow, 100, 120, 70, 15, FLYING, LIFE, 0, , 1, , , , , , , , Cooking, 3840, CHICKEN, Chicken, BIG_PECKS
16, Chicken_Death_Form, GHOST, FLYING, CURSED_BODY, SHADOW_TAG, , 485, 80, 75, 70, 80, 80, 100, , -, -, 131, medium slow, 0, 110, 70, 15, FLYING, LIFE, 0, , , 2, , , , , , , Prayer, 3840, CHICKEN, Chicken, MUMMY
17, Chicken_Bandosian_Form, NORMAL, FLYING, EARLY_BIRD, KEEN_EYE, , 360, 75, 50, 60, 40, 60, 75, , -, -, 131, medium slow, 100, 120, 70, 15, FLYING, LIFE, 0, , 1, , , , , , , , Cooking, 3840, CHICKEN, Chicken, BIG_PECKS
18, Chicken_War_Form, FIGHTING, FLYING, TANGLED_FEET, TOUGH_CLAWS, , 485, 70, 100, 80, 100, 60, 75, , -, -, 120, medium slow, 0, 110, 70, 15, FLYING, LIFE, 0, , , 2, , , , , , , Slayer, 3840, CHICKEN, Chicken, TANGLED_FEET
19, Rooster_Normal_Form, NORMAL, FLYING, EARLY_BIRD, INTIMIDATE, , 360, 60, 85, 55, 45, 35, 80, , -, -, 130, medium slow, 0, 120, 70, 15, FLYING, LIFE, 0, , 1, , , , , , , , Fletching, 3840, CHICKEN, Rooster, TANGLED_FEET
20, Ernest, PSYCHIC, FLYING, RATTLED, EMERGENCY_EXIT, , 485, 68, 75, 71, 120, 70, 81, , -, -, 120, medium slow, 0, 110, 70, 15, FLYING, LIFE, 0, , , , , 2, , , , , Quest, 3840, CHICKEN, Ernest, EMERGENCY_EXIT
21, Rooster_Karamja_Form, NORMAL, FLYING, EARLY_BIRD, INTIMIDATE, , 360, 60, 85, 55, 45, 35, 80, , -, -, 122, medium slow, 0, 120, 70, 15, FLYING, LIFE, 0, , 1, , , , , , , , Fletching, 3840, CHICKEN, Rooster, TANGLED_FEET
22, Oomlie, FIGHTING, FLYING, EARLY_BIRD, INTIMIDATE, , 485, 70, 110, 65, 75, 65, 100, , -, -, 126, medium slow, 0, 110, 70, 15, FLYING, LIFE, 0, , , 2, , , , , , , Quest, 3840, CHICKEN, Oomlie, TANGLED_FEET
23, Rooster_Bandosian_Form, NORMAL, FLYING, EARLY_BIRD, INTIMIDATE, , 360, 60, 85, 55, 45, 35, 80, , -, -, 130, medium slow, 0, 120, 70, 15, FLYING, LIFE, 0, , 1, , , , , , , , Fletching, 3840, CHICKEN, Rooster, TANGLED_FEET
24, Chicken_Famine_Form, FLYING, BUG, ADAPTABILITY, PICKPOCKET, , 485, 150, 70, 75, 70, 60, 60, , -, -, 144, medium slow, 0, 110, 70, 15, FLYING, LIFE, 0, , , , 2, , , , , , Cooking, 3840, CHICKEN, Chicken, PICKPOCKET
25, Rooster_Varrock_Form, NORMAL, FLYING, EARLY_BIRD, INTIMIDATE, , 360, 60, 85, 55, 45, 35, 80, , -, -, 120, medium slow, 0, 120, 70, 15, FLYING, LIFE, 0, , 1, , , , , , , , Fletching, 3840, CHICKEN, Rooster, TANGLED_FEET
26, Chicken_Pestilence_Form, POISON, FLYING, STENCH, CORROSION, , 485, 75, 80, 70, 100, 70, 90, , -, -, 110, medium slow, 0, 110, 70, 15, FLYING, LIFE, 0, , , , , , , 2, , , Herblore, 3840, CHICKEN, Chicken, STENCH
27, Chicken_Lizard_Form, GROUND, -, RUN_AWAY, SAND_VEIL, , 360, 60, 50, 80, 50, 70, 50, , -, -, 120, medium slow, 100, 110, 70, 15, FLYING, LIFE, 0, , , , 2, , , , , , Farming, 3840, CHICKEN, Chicken, DRY_SKIN
28, Chicken_Undead_Form, GHOST, FLYING, MUMMY, MUMMY, , 360, 70, 60, 90, 60, 40, 40, , -, -, 130, medium slow, 100, 110, 70, 15, FLYING, LIFE, 0, , , , 2, , , , , , Prayer, 3840, CHICKEN, Chicken, MUMMY
29, Chicken_Mystery_Form, ELECTRIC, FLYING, SOLAR_POWER, LIGHTNING_ROD, , 360, 60, 45, 45, 100, 40, 70, , -, -, 120, medium slow, 50, 110, 70, 15, FLYING, LIFE, 0, , , , , 2, , , , , Quest, 3840, CHICKEN, Chicken, SOLAR_POWER
30, EvilChicken, DARK, FLYING, INTIMIDATE, PRESSURE, , 580, 90, 125, 85, 100, 85, 95, , -, -, 152, fluctuating, 100, 50, 70, 15, FLYING, LIFE, 0, , , , , 2, , 1, , , Magic, 3840, CHICKEN, E. Chicken, COMPETITIVE
31, Swordchick, WATER, FLYING, HUSTLE, NO_GUARD, , 485, 80, 120, 71, 65, 76, 73, , -, -, 111, fluctuating, 100, 110, 70, 15, FLYING, LIFE, 0, , , 2, , , , , , , Invention, 3840, EXPERIMENT, Swordchick, NO_GUARD
32, Newtroost, DRAGON, -, BERSERK, MOODY, , 485, 80, 110, 35, 115, 35, 110, , -, -, 121, fluctuating, 0, 90, 70, 15, FLYING, LIFE, 0, , , 1, , 1, , , , , Invention, 3840, EXPERIMENT, Newtroost, MOODY
33, Calf, GROUND, -, THICK_FAT, BATTLE_ARMOR, , 251, 65, 50, 55, 25, 21, 35, , -, -, 42, medium slow, 50, 255, 70, 15, FIELD, LIFE, 0, , 1, , , , , , , , Crafting, 3840, Cow, Calf, THICK_FAT
34, Cow, GROUND, FAIRY, THICK_FAT, BATTLE_ARMOR, , 380, 95, 55, 80, 45, 65, 40, , -, -, 120, medium slow, 100, 120, 70, 15, FIELD, LIFE, 0, , 2, , , , , , , , Crafting, 3840, Cow, Cow, THICK_FAT
35, Super_Cow, GROUND, FAIRY, THICK_FAT, BATTLE_ARMOR, , 490, 95, 95, 90, 90, 70, 50, , -, -, 154, medium slow, 100, 120, 70, 15, FIELD, LIFE, 0, , 2, , , , , , , , Farming, 3840, Cow, Super, THICK_FAT
36, Cow_Dairy_Form, GROUND, FAIRY, THICK_FAT, TRIAGE, , 490, 120, 85, 90, 70, 85, 40, , -, -, 154, medium slow, 100, 120, 70, 15, FIELD, LIFE, 0, , 2, , , , , , , , Cooking, 3840, Cow, Cow, THICK_FAT
37, Cow_Undead_Form, GROUND, GHOST, THICK_FAT, WEAK_ARMOR, , 490, 120, 75, 80, 80, 85, 50, , -, -, 154, medium slow, 100, 120, 70, 15, FIELD, LIFE, 0, , 1, , 1, , , , , , Prayer, 3840, Cow, Cow, THICK_FAT
38, Cow_Chocolate_Form, GROUND, -, SWEET_VEIL, THICK_FAT, , 380, 85, 70, 50, 70, 40, 65, , -, -, 154, medium slow, 100, 120, 70, 15, FIELD, LIFE, 0, , 2, , , , , , , , Farming, 3840, Cow, Cow, WEAK_ARMOR
39, Cow_Strawberry_Form, GROUND, -, SWEET_VEIL, SAP_SIPPER, , 380, 85, 70, 70, 50, 65, 40, , -, -, 154, medium slow, 100, 120, 70, 15, FIELD, LIFE, 0, , 2, , , , , , , , Farming, 3840, Cow, Cow, THICK_FAT
40, Cow_Vanilla_Form, GROUND, NORMAL, SWEET_VEIL, GRASS_PELT, , 380, 80, 65, 60, 70, 40, 65, , -, -, 154, medium slow, 100, 120, 70, 15, FIELD, LIFE, 0, , 2, , , , , , , , Farming, 3840, Cow, Cow, GRASS_PELT
41, Cow_Harlequin_Form, GROUND, NORMAL, SWEET_VEIL, TRIAGE, , 490, 95, 85, 80, 80, 70, 80, , -, -, 154, medium slow, 100, 120, 70, 15, FIELD, LIFE, 0, , 2, , , , , , , , Farming, 3840, Cow, Cow, THICK_FAT
42, SkeletalOx_Female_Form, GROUND, GHOST, INTIMIDATE, ANGER_POINT, , 490, 80, 75, 130, 80, 85, 40, , -, -, 130, medium slow, 100, 120, 70, 15, FIELD, LIFE, 0, , , 1, 1, , , , , , Prayer, 3840, Cow, SkeletalOx, ANGER_POINT
43, Bull, GROUND, FIGHTING, INTIMIDATE, ANGER_POINT, , 380, 60, 100, 65, 45, 50, 60, , -, -, 110, medium slow, 0, 120, 70, 15, FIELD, LIFE, 0, , , 2, , , , , , , Strength, 3840, Cow, Bull, ANGER_POINT
44, Bull_Elder_Form, GROUND, FIGHTING, INTIMIDATE, ANGER_POINT, , 490, 80, 130, 65, 75, 60, 80, , -, -, 154, medium slow, 0, 120, 70, 15, FIELD, LIFE, 0, , , 2, , , , , , , Farming, 3840, Cow, Bull, ANGER_POINT
45, SkeletalOx_Male_Form, GROUND, GHOST, INTIMIDATE, ANGER_POINT, , 490, 80, 130, 105, 70, 45, 60, , -, -, 140, medium slow, 0, 120, 70, 15, FIELD, LIFE, 0, , , 1, 1, , , , , , Prayer, 3840, Cow, SkeletalOx, ANGER_POINT
46, Trojan_Cow, GROUND, STEEL, FLUFFY, WEAK_ARMOR, , 600, 250, 60, 110, 60, 20, 100, , -, -, 255, medium slow, 100, 120, 70, 15, FIELD, LIFE, 0, , 3, , , , , , , , Crafting, 3840, Cow, Trojan Cow, WEAK_ARMOR
47, Cow_Plague_Form, GROUND, POISON, POISON_POINT, POISON_TOUCH, , 380, 65, 60, 50, 70, 50, 85, , -, -, 154, medium slow, 100, 120, 70, 15, FIELD, LIFE, 0, , , , , , , 2, , , Quest, 3840, Cow, Plague Cow, WEAK_ARMOR
48, Minotaur_Normal_Form, GROUND, DARK, INTIMIDATE, ROCK_HEAD, , 380, 65, 100, 75, 45, 45, 50, , -, -, 154, medium slow, 0, 120, 70, 15, FIELD, LIFE, 0, , , 2, , , , , , , Slayer, 3840, Cow, Minotaur, OWN_TEMPO
49, Minotaur_Rune_Form, GROUND, STEEL, INTIMIDATE, BATTLE_ARMOR, , 490, 80, 115, 110, 55, 50, 80, , -, -, 154, medium slow, 0, 120, 70, 15, FIELD, LIFE, 0, , , 2, 1, , , , , , summoning, 3840, Cow, Minotaur, BERSERK
50, Unicow, GROUND, FAIRY, THICK_FAT, SERENE_GRACE, , 490, 100, 60, 60, 100, 110, 60, , -, -, 154, Medium slow, 100, 120, 70, 15, FIELD, LIFE, 0, , , , , , 2, , , , Quest, 3840, EXPERIMENT, Unicow, HEALER
51, Rat_Normal_Form, DARK, -, GUTS, STRONG_JAW, , 251, 35, 45, 35, 35, 35, 66, , -, -, 42, medium fast, 50, 255, 70, 15, FIELD, LIFE, 0, , , , , , , 1, , , Thieving, 3840, RAT, Rat, STRONG_JAW
52, Giant_Rat_Normal_Form, DARK, -, GUTS, STRONG_JAW, , 370, 60, 75, 55, 60, 45, 75, , -, -, 110, medium fast, 50, 120, 70, 15, FIELD, LIFE, 0, , , , , , , 2, , , Thieving, 3840, RAT, Giant Rat, STRONG_JAW
53, Brine_Rat, DARK, WATER, SWIFT_SWIM, STRONG_JAW, , 440, 80, 80, 70, 80, 70, 60, , -, -, 130, medium fast, 50, 90, 70, 15, FIELD, LIFE, 0, , 2, , , , , , , , Slayer, 3840, RAT, Brine Rat, STORM_DRAIN
54, Giant_Rat_Blessed_Form, DARK, ELECTRIC, LIGHTNING_ROD, STRONG_JAW, , 440, 70, 60, 60, 100, 85, 65, , -, -, 130, medium fast, 50, 90, 70, 15, FIELD, LIFE, 0, , , , , 2, , , , , Prayer, 3840, RAT, Giant Rat, VOLT_ABSORB
55, Rat_Hell_Form, DARK, FIRE, FLAME_BODY, STRONG_JAW, , 250, 40, 45, 40, 45, 35, 45, , -, -, 117, medium fast, 50, 120, 70, 15, FIELD, LIFE, 0, , , 2, , , , , , , Quest, 3840, RAT, Hell Rat, FLAME_BODY
56, Giant_Rat_Hell_Form, DARK, FIRE, FLAME_BODY, STRONG_JAW, , 440, 80, 85, 65, 90, 60, 60, , -, -, 120, medium fast, 50, 90, 70, 15, FIELD, LIFE, 0, , , 2, , , , , , , Quest, 3840, RAT, Hell Rat, FLAME_BODY
57, Shell_Rat, DARK, FIRE, SOLID_ROCK, PRANKSTER, , 410, 85, 50, 95, 45, 95, 40, , -, -, 120, medium fast, 50, 90, 70, 15, FIELD, LIFE, 0, , , , 2, , 1, , , , Quest, 3840, RAT, Shell Rat, PRANKSTER
58, Rat_Crypt_Form, DARK, -, POISON_TOUCH, STRONG_JAW, , 210, 40, 30, 40, 35, 35, 30, , -, -, 120, medium fast, 50, 120, 70, 15, FIELD, LIFE, 0, , 2, , , , , , , , Attack, 3840, RAT, Rat, POISON_TOUCH
59, Giant_Rat_Crypt_Form, DARK, -, POISON_TOUCH, STRONG_JAW, , 370, 70, 60, 60, 60, 70, 50, , -, -, 130, medium fast, 50, 90, 70, 15, FIELD, LIFE, 0, , 2, , , , , , , , Strength, 3840, RAT, Giant Rat, POISON_TOUCH
60, Warped_Rat, DARK, PSYCHIC, MOODY, STRONG_JAW, , 440, 80, 50, 65, 85, 100, 60, , -, -, 130, medium fast, 50, 90, 70, 15, FIELD, LIFE, 0, , , , , 2, , , , , Quest, 3840, RAT, Warped Rat, BERSERK
61, Zombie_Rat, DARK, GHOST, AFTERMATH, STRONG_JAW, , 440, 60, 70, 100, 75, 65, 70, , -, -, 132, medium fast, 50, 90, 70, 15, FIELD, LIFE, 0, , 1, , 1, , , , , , Prayer, 3840, RAT, Zombie Rat, AFTERMATH
62, Giant_Rat_Dungeon_Form, DARK, ROCK, UNBURDEN, STRONG_JAW, , 440, 70, 85, 65, 70, 65, 85, , -, -, 132, medium fast, 50, 90, 70, 15, FIELD, LIFE, 0, , , 2, , , , , , , Attack, 3840, RAT, Dungeon Rat, GUTS
63, Rat_King_Form, DARK, -, INTIMIDATE, RUN_AWAY, , 250, 35, 55, 40, 40, 30, 50, , -, -, 132, medium fast, 50, 120, 70, 15, FIELD, LIFE, 0, , , , , , , 2, , , Thieving, 3840, RAT, Rat, PRESSURE
64, Giant_Rat_King_Form, DARK, FAIRY, INTIMIDATE, EMERGENCY_EXIT, , 440, 63, 75, 73, 83, 70, 76, , -, -, 132, medium fast, 50, 90, 70, 15, FIELD, LIFE, 0, , , , , , , 2, , , Thieving, 3840, RAT, Giant Rat, PRESSURE
65, Albino_Rat, DARK, NORMAL, POISON_HEAL, STRONG_JAW, , 440, 70, 85, 70, 60, 75, 80, , -, -, 132, medium fast, 50, 90, 70, 15, FIELD, LIFE, 0, , 1, 1, , , , , , , Summoning, 3840, RAT, Albino Rat, GUTS
66, Angry_Rat, DARK, FIGHTING, ANGER_POINT, STRONG_JAW, , 440, 60, 100, 70, 80, 70, 60, , -, -, 132, medium fast, 50, 90, 70, 15, FIELD, LIFE, 0, , , 2, , , , , , , Quest, 3840, RAT, Angry Rat, BERSERK
67, Experiment_2_Form, DARK, GRASS, SKILL_LINK, LONG_REACH, , 440, 80, 95, 70, 65, 60, 70, , -, -, 147, medium fast, 50, 90, 70, 15, FIELD, LIFE, 0, , , 2, , , , , , , Quest, 3840, EXPERIMENT, Experiment, HARVEST
68, Lamb, NORMAL, -, CUTE_CHARM, FLUFFY, , 251, 65, 34, 50, 34, 28, 40, , -, -, 31, medium slow, 50, 250, 70, 20, FIELD, LIFE, 0, , , , 1, , , , , , Crafting, 5120, SHEEP / GOAT, Lamb, FLUFFY
69, Sheep_White_Form, NORMAL, -, SOUNDPROOF, FLUFFY, , 365, 70, 60, 70, 50, 65, 50, , -, -, 87, medium slow, 50, 90, 70, 20, FIELD, LIFE, 0, , , , 2, , , , , , Crafting, 5120, SHEEP / GOAT, Sheep, FLUFFY
70, Sheep_Plague_Form, NORMAL, POISON, FLUFFY, NORMALIZE, , 500, 85, 60, 100, 85, 85, 85, , -, -, 120, medium slow, 50, 45, 70, 20, FIELD, LIFE, 0, , , , 2, , , , , , Quest, 5120, SHEEP / GOAT, Sheep, NORMALIZE
71, Sheep_Black_Form, NORMAL, DARK, SCRAPPY, INTIMIDATE, , 500, 85, 100, 80, 80, 70, 85, , -, -, 103, medium slow, 50, 90, 70, 20, FIELD, LIFE, 0, , , 1, 1, , , , , , Thieving, 5120, SHEEP / GOAT, Sheep, SCRAPPY
72, Ram_Fluffy_Form, NORMAL, -, SOUNDPROOF, FLUFFY, , 365, 70, 70, 75, 40, 65, 45, , -, -, 109, medium slow, 50, 90, 70, 20, FIELD, LIFE, 0, , , , 2, , , , , , Crafting, 5120, SHEEP / GOAT, Ram, FLUFFY
73, Ram_Shaggy_Form, NORMAL, FIGHTING, SOUNDPROOF, FLUFFY, , 500, 100, 110, 100, 70, 75, 45, , -, -, 124, medium slow, 50, 45, 70, 20, FIELD, LIFE, 0, , , , 2, , , , , , Strength, 5120, SHEEP / GOAT, Ram, FLUFFY
74, Ram_Golden_Form, NORMAL, STEEL, FLUFFY, INTIMIDATE, , 500, 80, 100, 110, 80, 80, 50, , -, -, 124, medium slow, 50, 45, 70, 20, FIELD, LIFE, 0, , , , 2, , , , , , Quest, 5120, SHEEP / GOAT, Ram, FLUFFY
75, Sheep_Pirate_Form, WATER, FIGHTING, VITAL_SPIRIT, FLUFFY, , 500, 80, 110, 90, 95, 70, 55, , -, -, 114, medium slow, 50, 45, 70, 20, FIELD, LIFE, 0, , , 1, 1, , , , , , Sailing, 5120, SHEEP / GOAT, Sheep, FLUFFY
76, Goat_Billy_Form, NORMAL, -, SAP_SIPPER, STAMINA, , 265, 40, 60, 40, 20, 45, 60, , -, -, 105, medium slow, 50, 90, 70, 20, FIELD, , 0, , , , 1, , , 1, , , Agility, 5120, SHEEP / GOAT, Goat, SAP_SIPPER
77, Goat_Desert_Form, NORMAL, -, SAP_SIPPER, STAMINA, , 360, 55, 60, 75, 60, 40, 70, , -, -, 120, medium slow, 50, 45, 70, 20, FIELD, , 0, , , , 1, , , 2, , , Agility, 5120, SHEEP / GOAT, Goat, SAP_SIPPER
78, Goat_Mountain_Form, NORMAL, ROCK, SAND_VEIL, STAMINA, , 500, 80, 110, 70, 70, 70, 100, , -, -, 125, medium slow, 50, 45, 70, 20, FIELD, , 0, , , , 1, , , 2, , , Agility, 5120, SHEEP / GOAT, Goat, SAP_SIPPER
79, Gorak, NORMAL, DARK, MERCILESS, INTIMIDATE, , 500, 70, 120, 70, 100, 55, 85, , -, -, 140, medium slow, 50, 45, 70, 20, FIELD, , 0, , , 3, , , , , , , Strength, 5120, SHEEP / GOAT, Gorak, SCRAPPY
80, Sardine, WATER, -, SWIFT_SWIM, OWN_TEMPO, , 255, 35, 35, 40, 55, 45, 45, , -, -, 34, medium fast, 50, 255, 70, 20, WATER_2, , 0, , , , , , , 1, , , Fishing, 5120, FISH, Sardine, DEFIANT
81, Herring, WATER, -, SWIFT_SWIM, OWN_TEMPO, , 310, 50, 45, 45, 60, 50, 60, , -, -, 77, medium fast, 50, 190, 70, 20, WATER_2, , 0, , , , , , , 2, , , Fishing, 5120, FISH, Herring, DEFIANT
82, Trout_Normal_Form, WATER, -, SWIFT_SWIM, OWN_TEMPO, , 390, 75, 70, 55, 60, 50, 80, , -, -, 114, medium fast, 50, 120, 70, 20, WATER_2, , 0, , , , , , , 2, , , Fishing, 5120, FISH, Trout, DEFIANT
83, Swordfish, WATER, FIGHTING, SWIFT_SWIM, OWN_TEMPO, , 500, 90, 125, 75, 60, 55, 95, , -, -, 153, medium fast, 50, 45, 70, 20, WATER_2, , 0, , , 3, , , , , , , Fishing, 5120, FISH, Swordfish, DEFIANT
84, Trout_Leaping_Form, WATER, -, DEFIANT, UNBURDEN, , 350, 65, 50, 60, 60, 55, 60, , -, -, 106, medium slow, 50, 120, 50, 20, WATER_2, , 0, , , , , , , 2, , , Strength, 5120, FISH, Trout, UNBURDEN
85, Sturgeon, WATER, FIGHTING, DEFIANT, UNBURDEN, , 500, 80, 90, 95, 90, 85, 60, , -, -, 153, medium slow, 50, 45, 50, 20, WATER_2, , 0, , , 2, , , , , , , Strength, 5120, FISH, Sturgeon, UNBURDEN
86, Trout_Tropical_Form, WATER, -, SWIFT_SWIM, RAIN_DISH, , 350, 70, 55, 50, 50, 50, 75, , -, -, 45, medium fast, 50, 200, 70, 20, WATER_2, , 0, , , , , , , 2, , , Fishing, 5120, FISH, Trout, RAIN_DISH
87, Sailfish, WATER, FIGHTING, DEFIANT, SPEED_BOOST, , 500, 80, 120, 75, 60, 55, 110, , -, -, 165, Medium fast, 50, 45, 70, 20, WATER_2, , 0, , , 3, , , , , , , Fshing, 5120, FISH, Sailfish, OWN_TEMPO
88, Thallasus, WATER, DRAGON, PRESSURE, PRESSURE, , 580, 120, 120, 95, 95, 70, 80, , -, -, 254, slow, 50, 25, 0, 20, UNDISCOVERED, , 0, , 1, 3, , , , , , , Quest, 5120, FISH, Thallasus, PRESSURE
89, Bass, WATER, -, SWIFT_SWIM, WATER_VEIL, , 310, 50, 45, 50, 50, 45, 70, , -, -, 94, medium fast, 50, 130, 70, 20, WATER_2, , 0, , 1, , , , , , , , Fishing, 5120, FISH, Bass, RAIN_DISH
90, Salmon_Normal_Form, WATER, -, DEFIANT, UNBURDEN, , 370, 75, 60, 60, 65, 65, 45, , -, -, 125, medium slow, 50, 80, 50, 20, WATER_2, , 0, , 2, , , , , , , , Strenght, 5120, FISH, Salmon, UNBURDEN
91, Shark_Normal_Form, WATER, -, INTIMIDATE, ROUGH_SKIN, , 500, 100, 90, 75, 75, 80, 80, , -, -, 156, medium fast, 50, 80, 50, 20, WATER_2, , 0, , , 2, , , , , , , Fishing, 5120, FISH, Shark, RAIN_DISH
92, Fury_Shark, WATER, FIRE, ANGER_POINT, MAGMA_ARMOR, , 500, 90, 100, 75, 100, 65, 70, , -, -, 156, medium fast, 50, 45, 50, 20, WATER_2, , 0, , , 2, , 1, , , , , Fishing, 5120, FISH, Shark, MAGMA_ARMOR
93, Salmon_Leaping_Form, WATER, -, DEFIANT, UNBURDEN, , 350, 60, 60, 65, 60, 65, 40, , -, -, 124, medium slow, 50, 80, 50, 20, WATER_2, , 0, , 2, , , , , , , , Strenght, 5120, FISH, Salmon, UNBURDEN
94, Shark_GreatWhite_Form, WATER, DARK, STRONG_JAW, ROUGH_SKIN, , 500, 75, 120, 65, 75, 75, 90, , -, -, 154, medium fast, 50, 45, 50, 20, WATER_2, , 0, , , 2, , , , , , , Fishing, 5120, FISH, Shark, STRONG_JAW
95, Shark_Tiger_Form, WATER, FIGHTING, INTIMIDATE, ROUGH_SKIN, , 500, 80, 90, 85, 90, 75, 80, , -, -, 154, medium fast, 50, 45, 50, 20, WATER_2, , 0, , , 2, , , , , , , Fishing, 5120, FISH, Shark, RECKLESS
96, Mackerel, WATER, -, RATTLED, STORM_DRAIN, , 250, 50, 30, 35, 55, 40, 40, , -, -, 94, medium fast, 50, 130, 50, 20, WATER_2, , 0, , 1, 1, , , , , , , Fishing, 5120, FISH, Mackerel, WATER_VEIL
97, Catfish, WATER, -, RATTLED, STORM_DRAIN, , 315, 70, 50, 30, 70, 50, 45, , -, -, 130, medium fast, 50, 80, 50, 20, WATER_2, , 0, , 1, 1, , , , , , , Fishing, 5120, FISH, Catfish, WATER_VEIL
98, Shark_Baron_Form, WATER, FAIRY, ROUGH_SKIN, DAZZLING, , 500, 80, 80, 80, 105, 80, 75, , -, -, 144, medium slow, 50, 45, 50, 20, WATER_2, , 0, , , 1, , 2, , , , , Fishing, 5120, FISH, Shark, DEFIANT
