ID, NAME, DEX ENTRY, HEIGHT, WEIGHT, DEX NUMBER, CATEGORY, COUNT, Creature in RuneScape
31, Swordchick, With a beak mightier than any others### it faces any opponents on land or sea. One of the Homunculus's greatest creations., 5.1, 17.9, 19, Blade, 5, Swordchick
32, Newtroost, Pretentious and arrogant. It flexes its muscles and howls in the glory of itself and its creator., 5.4, 20.8, 20, Roosting, 8, Newtroost
33, Calf, Unsteady on their feet### they never stray too far from their herd., 7.6, 462.1, 22, Calf, 4, Calf
34, Cow, While they produce milk### most adventurers prefer their hide to make clothes., 15.7, 7406.4, 23, Cow, 3, Cow
35, Super_Cow, When a slayer comes near### the matriarch will challenge it to a battle so epic### only cowhide is left., 15.7, 7406.4, , Super Cow, 9, Super cow
36, Cow_Dairy_Form, Dairy cows are specialized in producing the highest quality milk and can be milked by any passing adventurers., 15.7, 7406.4, , Dairy, 5, Dairy cow
37, Cow_Undead_Form, A cow who died in the ghastly lands of Morytania. Do not drink its milk., 15.7, 5157.4, 26, Zmoombie, 8, Undead Cow
38, Cow_Chocolate_Form, According to several surveys### 80% of players prefer the Chocolate cow over the vanilla or strawberry ones., 15.7, 7406.4, , Chocolate, 9, Chocolate cow
39, Cow_Strawberry_Form, Strawberry cows come to be by feeding a dairy cow plenty of strawberries throughout its period of growth., 15.7, 7406.4, , Strawberry, 10, Strawberry cow
40, Cow_Vanilla_Form, It is said that if you shake a vanilla cow enough and use a bucket on it### it will create a milkshake., 15.7, 7406.4, , Normal, 6, Vanilla cow
41, Cow_Harlequin_Form, A cow posessing the rare qualities of its fellow cows. When slaughtered### the pink parts are usually left behind., 15.7, 7406.4, , Harlequin, 9, Harlequin cow
42, SkeletalOx_Female_Form, An undead bovine who has lost its skin. For some reason### this one is prone to sneezing. How can something sneeze without any lungs..?, 13.5, 6984.9, 25*, SkeletalCow, 11, Ox (Babe)
43, Bull, Angry and impatient### these monsters do not like fashionable people in red., 18.0, 9865.6, 24, Bull, 4, Bull
44, Bull_Elder_Form, The apex of bulls. They are capable of knocking players over### and filling their stomachs for a slayer task., 18.0, 9865.6, , Grown Bull, 10, Elder bull
45, SkeletalOx_Male_Form, An undead bovine who has lost its skin. They are great companions for teenage witches., 13.5, 6984.9, 25*, SkeletalOx , 11, Ox (Norman)
46, Trojan_Cow, Fred the farmer collects balls of wool in order to create the ultimate cow. The trojan cow., 72.9, 65535, , Construct, 9, Trojan cow
47, Cow_Plague_Form, The cows of Sophanem and Menaphos were cursed by the Devourer### and are thus slowly awaiting death., 15.7, 7406.4, , Plagued , 8, Plague cow
48, Minotaur_Normal_Form, Far smarter than regular cows or bulls### they reside in the Stronghold of Security for no apparent reason., 13.8, 1202.0, , Minotaur, 8, Minotaur_Normal_Form
49, Minotaur_Rune_Form, Whenever they see humans with horny helmets### they will ruthlessly charge at them for a duel., 18.5, 2413.1, , Barbarian, 9, Rune minotaur
50, Unicow, An experiment crossing the purity of a unicorn### with the shape of a cow. Its purity it still in question., 16.5, 2607.6, 27, Unison, 6, Unicow
51, Rat_Normal_Form, While very small### they are sometimes capable of killing kittens., 1.0, 4.1, 31, Rat , 4, Rat
52, Giant_Rat_Normal_Form, Too big for any cat to hunt. These rats lurk about in the wild in search of food., 6.9, 97.5, 32, Giant Rat, 9, Giant Rat
53, Brine_Rat, A rat who lurks in the brine of the sea. They hold on to brine sabres., 4.8, 27.7, 34, Scurwy, 6, Brine rat
54, Giant_Rat_Blessed_Form, Iban### son of Zamorak### blessed these beings making them stronger than regular rats., 7.4, 102.5, 47, IbansVermin, 11, Blessed rat
55, Rat_Hell_Form, Demonic rats### they are MALICIOUSLY CRUEL to anyone and TOTALLY EVIL., 2.0, 6.8, 36, Infernal, 8, Hell rat
56, Giant_Rat_Hell_Form, Bigger than before### they are now capable of UNRELENTING MALICIOUSNESS., 7.4, 47.2, 37, Infernal, 8, Giant Hell rat
57, Shell_Rat, A being so BRUTALLY ANTAGONISTIC it could not pass the custom. So it entered a coconut., 2.0, 8.2, 38, Coconut, 7, Shell rat
58, Rat_Crypt_Form, The crypts of Morytania warped these small rats### hardening their skills and aggresion., 1.0, 4.1, 40, Crypt  , 7, Crypt rat
59, Giant_Rat_Crypt_Form, Despite living in a crypt### this rat is beyond fat. All rats used to look more like this before., 6.9, 97.5, 41, Crypt  , 7, Giant crypt rat
60, Warped_Rat, A rat warped by a necromancer. Opening its mind to psychic powers### but losing the sanity., 6.4, 93.0, 42, Catacombed, 10, Warped rat
61, Zombie_Rat, Arisen from death### they serve as guards to Melzar the Mad., 6.9, 99.8, 43, Dead Vermin, 11, Zombie rat
62, Giant_Rat_Dungeon_Form, Rats adapting to the life in the dungeon. Their scars are from many battles with other rats., 8.4, 109.8, 39, Rat, 3, Dungeon rat
63, Rat_King_Form, A rat so deadly it could kill kittens with a single strike. They are known to form rat courts., 8.4, 6.8, 44, Rat Master, 10, King rat
64, Giant_Rat_King_Form, A king rat who lived to become a giant. Its hedonism and cruelty grew correspondingly., 8.4, 110.7, 45, Majestic, 8, Giant King rat
65, Albino_Rat, A rat that has become white and with red eyes. They can not stop themselves from feasting on cheese., 6.4, 42.6, 35, Albino Rat, 10, Albino rat
66, Angry_Rat, Formed by the anger of Tolna### shaped to a rat. It knows only anger. , 7.4, 104.3, 46, Anger, 5, Angry rat
67, Experiment_2_Form, The experiment of a witch. They fling ogleroots as their weapons., 13.5, 206.8, 33, Ogleroot, 8, Experiment no 2
68, Lamb, Woolless and unready for the world. The lamb only hopes to baa with its parents., 6.6, 93.4, 48, Cute, 4, Lamb
69, Sheep_White_Form, The favoured race of Guthix. Mostly sheared illegally by adventurers., 13.5, 546.6, 49, Wooly, 5, White Sheep
70, Sheep_Plague_Form, A sheep coloured to pretend there was a plague in Kandarin. This was instigated by the faction of mourners., 10.2, 499.0, , Coloured, 8, Plague sheep
71, Sheep_Black_Form, Sheep born with black fur are worth less than white ones because their wool can not be coloured., 9.5, 467.2, , Black Sheep, 11, Black sheep
72, Ram_Fluffy_Form, Its horns signals it's ready to fight other males for dominance., 0, 0, , Sheep, 5, 
73, Ram_Shaggy_Form, Not as easily sheared as sheep### these monsters enjoy striking back at unprepared adventurers., 13.5, 625.1, 50, Hardheaded, 10, Ram_Shaggy_Form
74, Ram_Golden_Form, Golden rams tend to be monopolised by the troll Lalli. But their wool can be used to create enchanted lyres., 10.9, 546.6, , Gold Ram, 8, Golden ram
75, Sheep_Pirate_Form, When a pirate accidentally said he wanted a 'pirate sheep' his crewmates gave him this. It was accepted into the crew., 13.2, 590.1, 51, Typo, 4, Pirate Sheep
76, Goat_Billy_Form, Known for eating almost anything### these goats are great for controlling grasslands on the mountain., 10.2, 499.0, , Goat, 4, Goat_Billy_Form
77, Goat_Desert_Form, As they wander the desert near Nardah they sometimes find adventurers killing them for their horns., 10.2, 499.0, , Desert Goat, 11, Desert Goat
78, Goat_Mountain_Form, Their hooves are so expertly crafted### they can climb even the steepest mountain. Despite this### they are often used for soup., 10.2, 499.0, , Billy, 5, Mountain goat
79, Gorak, Despite being found in another plane of existence### some made it to Gielinor to fight by Zamorak's side during the God Wars., 19.4, 3551.6, , Gorak, 5, Gorak
80, Sardine, A small and otherwise weak fish. But rich in nutrients and purines., 0.7, 0.5, 52, Nutritious, 10, Sardine
81, Herring, Not to be confused with red herrings from Sinclair Mansion. These fish live their entire lives in water., 1.8, 10.0, 53, Not Red, 7, Herring
82, Trout_Normal_Form, Capable of crossing great lengths of water to mate### these fish can swim an entire day without rest., 2.5, 73.9, 54*, Trout, 5, Trout
83, Swordfish, Sporting a sword-like nose### these fish are very territorial over their turf., 5.3, 879.5, 55, Bladed, 6, Swordfish
84, Trout_Leaping_Form, As they are much more agile than regular Trout### these fish are often only caught by those who have received Barbarian training., 2.5, 73.9, 54*, Trour, 5, Leaping trout
85, Sturgeon, Its nose is long for territorial fights### as well as a handy tool for examining areas., 3.3, 67.1, 57, Waterfall, 9, Leaping sturgeon
86, Trout_Tropical_Form, Accustomed to a warmer climate### these fish usually appear in rock pools by the beach during the height of summer., 2.5, 73.9, 54*, Trout, 5, Tropical Trout
87, Sailfish, Their sail allows them to travel at far greater speed than swordfish### making them exceptional hunters., 4.7, 97.5, 58, Sailing, 7, Sailfish
88, Thallasus, The beast of the sea### it has been known to drown even the biggest ships and seasoned fishermen on the smallest of whims., 11.4, 250.4, 59, Aargh, 5, Thallasus
89, Bass, Often dropped on the ground by adventurers. These fish often feel lonely and neglected., 3.9, 136.1, 60, Dropped, 7, Bass
90, Salmon_Normal_Form, When it is time to mate### these fish will climb the Baxtorian Falls### avoiding the whirlpools### to find a mate., 2.5, 39.0, 56*, Crimson, 7, Salmon
91, Shark_Normal_Form, A fish sporting a great number of teeth that can be regrown. Adventurers like to eat these in large numbers cooked., 14.7, 2551.9, 61, Mouthfull, 9, Shark_Normal_Form
92, Fury_Shark, It is unknown where these shark hail from. Some theorise they can only live inside lava., 10.4, 3084.4, 66, Furious, 7, Fury shark
93, Salmon_Leaping_Form, Scaling the Baxtorian Falls has left these fish significantly more agile and much more difficult to bait., 2.5, 39.0, 56*, Crimson, 7, Leaping salmon
94, Shark_GreatWhite_Form, The most dangerous of all sharks### these fish will lash out and bite anything they find or deem edible., 14.7, 2678.5, 63, Toothed, 7, White shark
95, Shark_Tiger_Form, A shark only found in the middle of the sea. They sometimes get caught in the fishing trawler### but most expeditions end up a wreck., 13.2, 1746.3, 62, Prowling, 8, Tiger shark
96, Mackerel, During the reign of Captain Rabid Jack### a man was filled to the brim with mackerels as punishment., 1.5, 145.2, 64, Tasty, 5, Mackerel
97, Catfish, Despite its name### it is not a cat but rather a fish. The whiskers threw marine biologists off., 2.0, 204.1, 65, BeardedFish, 11, Catfish
98, Shark_Baron_Form, It is so rare and golden that it is sometimes hung up on the walls of houses. A rare prize for fishermen., 13.8, 3061.7, 74, Sparkling, 9, Baron shark
99, Tarpon, A vital ingredient for fish oil### hailing from Waiko., 3.0, 77.1, 67, Exotic, 6, Tarpon
100, Seerfish, These fish are apparently distantly related to the mackerel### despite their uppity name., 2.3, 59.0, 68, Allknowing, 10, Seerfish
101, DesertSole, Since it is only found in the desert. It hides along the ocean floor camouflaged., 1.9, 195.0, 75, Flat Fish, 9, Desert sole
102, Sillago, A rare fish from the Arc. It scours the reef hiding from predators and looking for food., 1.5, 36.3, 69, Thick Skin, 10, Sillago
103, Wobbegong, Despite its ferocious look it is actually not dangerous to humans### preferring to hunt small fish., 3.6, 118.0, 70, ReefDweller, 11, Wobbegong
104, Karambwanj, A fish that is hard to catch### only catchable in Karamja. It is very poisonous., 1.0, 36.3, 80, poisonous , 10, Karambwanji
105, Karambwan, An octopus whose method of being caught was a mystery to mostly anyone but the Tai Bwo Wannai. Nowadays everyone knows about it., 2.5, 117.9, 81, Toxic, 5, Karambwan
106, Whitefish, A rare fish that feeds on slimy eels. They can be crushed and used as bleach to decolour clothes., 5.8, 344.7, 76, Hemnsterian, 11, Whitefish
107, Beltfish, A fish so long it could be used as a belt. Apparently this is how it got its name., 1.3, 122.5, 78, Belt, 4, Beltfish
108, Manta_Ray, A deep sea fish usually only found through fishing trawlers. They taste delicious but are hard to come by., 5.1, 476.3, 79, SeaTrawling, 11, Manta ray
109, Cod, A fish that often gets the blame for children becoming angry or aggressive to others. It is unknown why., 2.5, 86.2, 71, Dutyfull, 8, Cod
110, Rainbow, As it shines in every colour conceivable### it was almost fished to extinction at one point., 2.8, 104.3, 72, Colourfull, 10, Rainbow fish
111, Shark_Golden_Form, A rare shark with a seemingly kind grin on its face. They are mostly seen in aquariums., 13.5, 2721.6, 73, Golden, 6, Golden shark
112, Pike, A fish known for its green colour. Only about half the pike fished by adventurers actually get cooked., 2.5, 86.2, 83, Pike, 4, Pike
113, Monkfish_Normal_Form, Only found in the Piscatoris fishing colony### they are sought after by sea trolls who fight humans for the land., 9.1, 331.1, 84, Fresh, 5, Monkfish_Normal_Form
114, AnglerFish, A fish that captivates its prey with a shining light. As they adore the light### it bites and swallows them whole., 7.7, 435.4, 86, Angler, 6, Angler fish
115, Giant_Carp, A carp that could single handedly win someone a fishing contest. But it's tricky to bait it., 2.5, 68.0, 82, Big Carp, 8, Giant carp
116, Monkfish_Fresh_Form, Not to be confused with regular monkfish that can actually be cooked and eaten., 0, 0, , Fresh, 5, 
117, Monkfish_Golden_Form, A monkfish so rare### that it's hardly eaten. Most find their way to aquariums in houses., 9.1, 399.2, 85, Lumineous, 9, Golden Monkfish
118, GoblinFish, A fish that only lives in the caves of the Dorgeshuun. Its taste is said to be very unique., 2.0, 154.2, 77, Loach, 5, Goblin Fish
119, Pet_Fish, Unable to live beyond their fish bowl container. They become quite discontent with their limited life., 0.8, 2.3, 87, Fishbowled, 10, Pet Fish
120, Gilbert, A fish who wanted to see more than the ocean... But ironically needed to see the world through the ocean., 2.5, 22.7, 88, Bubbly, 6, Gilbert
121, Cavefish, Living its entire life in underground water### it is unknown if they can even see in light., 1.0, 33.6, 89, Blind Fish, 10, Cavefish
122, Rocktail, Hard as a rock. Even harder to bite. These fish are tasty treats to most adventurers., 7.7, 137.9, 90, RockToothed, 11, Rocktail
123, Eel_Slimy_Form, An eel whose only defensive strategy is to be so slimy it can slip out of any situation., 1.6, 43.1, 91, Slimy Eel, 9, Slimy eel
124, Eel_Cave_Form, It prefers the water in caves. It had peace and solitude until the Dorgeshuun realized their existence., 1.6, 44.9, 92, Icky Eel, 8, Cave Eel
125, Eel_Sacred_Form, An eel that used to be worshipped in the past for its spiritual powers. Nowadays they are eaten like any other eel., 1.6, 59.9, 93, Sacred, 6, Sacred eel
126, Eel_Lava_Form, This fish can only survive in lava and requires special methods to be caught. One is needed to enter the Heroes' Guild., 1.6, 63.5, 94, Lava Eel, 8, Lava eel
127, Eel_Infernal_Form, An eel once feared as an eel from Infernus### dimension of demons. No one knows### or cares### if that's true since it tastes delicious., 1.6, 86.2, 95, Demonic, 7, Infernal eel
128, Eel_Mottled_Form, Known for their mottled texture### these eels tends to be fished with the aid of falconry., 1.6, 9.2, , Mottled, 7, Mottled eel
129, Eel_Short_Finned_Form, Everything but appetizing### these eels are known for their many short fins., 1.6, 9.2, , Unsavory, 8, Short finned eel
130, Eel_Salve_Form, For unknown reasons these eels seem to have some lesser holy qualities to them., 1.6, 9.2, , Salve Eel, 9, Salve eel
131, Eel_Dusk_Form, Eels that enjoy lurking in the darkest of waters as to not be caught. When caught### they are anything but pretty., 1.6, 9.2, , Dusk Eel, 8, Dusk eel
132, Cave_Moray, The biggest of all water-dwelling monsters of Daemonheim. The Cave Moray is a meal in itself for adventurers., 1.9, 10.0, , Moray, 5, Cave moray
133, Vile_Fish, A fish so vile### no one would ever attempt to eat one. Except maybe Thok., 1.9, 10.0, , Vile, 4, Vile fish
134, Piglet, These small things serve no real purpose to farmers but to grow into mud wrestlers., 7.6, 95.3, 96, Young Pig, 9, Piglet
135, Pig, Rumour has it that pigs do have a purpose beyond merely mud wrestling. But the farmer who spread the rumour refused to tell., 13.7, 816.5, 97, Ham, 3, Pig 
136, Pigzilla, The apex of all pigs. It's said no pig has ever grown bigger than the Pigzilla., 0, 0, , Pigzilla, 8, 
137, Puppy_Pup_Form, A cute little pupper that would die for you. Whenever you leave home### it will stay by your door until you come back., 4.1, 158.8, 98*, Licking, 7, Puppy (Cute)
138, Puppy_Mutt_Form, Slightly less adorable than its counterpart### this puppy spends all its free time chewing anything in sight., 4.1, 158.8, 98*, Barking, 7, Puppy (Mean)
139, Terrier, In ancient times### these were used for hunting and detective work., 7.1, 204.1, 99, Terrier, 7, Terrier
140, Sheepdog, Used to guard sheep. These dogs will bark at anyone out of line### or run them down a cliff., 9.1, 356.5, 100, Shepherding, 11, Sheepdog
141, Dalmatian, It is unknown how many spots a dalmation can truly have. The only thing we know is that some are brown and without any., 7.1, 301.6, 101, Spotted Dog, 11, Dalmatian
142, Greyhound, Known for their excellent speed### people use them for gambling in races., 7.4, 191, 102, Lapdog, 6, Greyhound
143, Bulldog, Ready to fight at any moment. These dogs often get breathing problems., 6.5, 324.3, 103, Bully, 5, Bulldog
144, Labrador, Genetically engineered to emotionally love everyone. Loves head pats too., 8.6, 282.1, 104, Fluffy, 6, Labrador
145, Corgi, Dogs that faithfully serve their queen### as long as they get lots of treats in the process., 6.2, 99.8, 105, Queens Pet, 10, Corgi
146, Terror_Dog, A dog warped by Tarn in order to find the salve stone### he never succeeded., 18.3, 771.1, 106, Terrifying, 10, Terror Dog
147, Stray_Dog, A mangy mutt who wanders the street### looking for the occasional bone and adventurers to follow., 7.1, 181.4, 107, Mangy Mutt, 10, Stray Dog
148, Muncher, A skeletal hellhound who served as the lord of Death### Harold's faithful companion., 6.2, 136.1, 108, Deaths Pet, 10, Muncher
149, Hellpuppy, When a puppy accidentally fell to the infernal dimension### it came back as a hellpuppy., 4.1, 181.4, 109, Barking , 8, Hellpuppy
150, Hellhound, A Shakroth type demon from Infernus. They bite really hard if not fed., 9.9, 492.1, 110, UnniceDoggy, 11, Hellhound
151, Cerberus, Known for its 3 heads### it's unknown if the heads act as one or if they retain individual personalities., 26.2, 2562.8, 111, ThreeHeaded, 11, Cerberus
152, Kitten, Small and curious about the world. A kitten will do anything to play with a ball of wool., 3.3, 37.6, 112, Kitten, 6, Kitten
153, Cat_Normal_Form, Known for their rat hunting prowess### they have become a mainstay in Gielinor., 6.4, 79.8, 113, Cat , 4, Cat_Normal_Form
154, Cat_Overgrown_Form, Since it has now grown to full size### it has become too lazy to actively hunt rats. The cat simply can not find the energy. , 6.9, 63.5, 114, Old Lived, 9, Overgrown Cat
155, Cat_Lazy_Form, When a wily cat does not exercise it becomes a lazy cat. Out of shape and out of motivation. Just like its owner., 6.4, 115.7, 115, Untrained, 9, Lazy Cat
156, Cat_Wily_Form, A cat trained to peak condition. Ready to strike at any rat it sees. They would fight a giant rat if allowed to., 6.9, 91.6, 116, RatCatching, 11, Wily Cat
157, Cat_Purple_Form, Cat made purple by the powers of a sweet-tooth witch. It is unknown if there is more to it beyond the colour., 6.4, 79.8, 117, Goulash, 7, Purple Cat
158, Cat_Hell_Form, When a cat eats too many hell rats### they become a hellcat. Infused by the hell rats' infernal energy., 6.9, 91.6, 118, InfernalCat, 11, Hell Cat
159, Cat_Post_Form, Letters connect people### and cats connect cat lovers. The postcat is an epitome of them both., 6.4, 80.4, 119, Duty Bound, 10, Post Cat
160, Cat_Sunken_Form, Sent as an omen to warn the adventurer of a terrible### terrible future. A sunken future. It also removes special effect on command., 6.4, 70.8, 120, XauTakitten, 11, Sunken Cat
161, Bob, The reincarnation of Odysseus### the mighty panther who died in a battle versus the dragonkin. Really likes Fish., 6.9, 77.2, 121, Bob, 3, Bob
162, Evil_Bob, An evil tyrant of whom most who have seen rarely survive. He takes slaves in to put them through cruel services like uncooking fish., 6.9, 77.2, 122, Scaperune, 9, Evil Bob
163, Pet_Rock, Known as the best companion an adventurer could ever have. They will fetch any stick thrown., 1.0, 15.4, 123, Companion, 9, Pet Rock
164, Rock_Polished_Form, Created by betraying a friend and turning them into a polishing rock for the purpose of completing a quest., 1.4, 40.8, , Polished, 8, Polish rock
165, Pillar, The Elder Gods created several Elder Artefacts. The Pillar was not one of them. Despite this### it killed Mother Mallum in one attack., 31.6, 41730.5, , Slug Slayer, 11, Pillar
166, Rock_Soup, A troll delicacy made by mixing a pet rock into a soup of cabbage. You can really taste the rock in it., 3.5, 59.0, , Delicious, 9, Rock soup
167, Slagilith, Most Slagilith are caused by unknowing adventurers animating the face of a rock. It becomes sentient and will try to kill them., 13.2, 340.2, , Rock Spell, 10, Slagilith
168, Rock_Strange_Form, These rocks are known to sneak into a player's inventory when they are least needed., 1.4, 40.8, , Strange , 8, Strange rock
169, Rock_Golden_Form, These golden rocks are known to sneak into a player's inventory when they are sometimes needed., 1.4, 40.8, , Stranger, 8, golden rock
170, Party_Rock, They dance with the fury of a mighty statue. Having one at a party is sure to raise the roof., 1.4, 40.8, , Rock Party, 10, Party rock
171, Strykewyrm_Freezy_Form, The different forms of strykewyrms are well adapted and dangerous. This one is known for being so cold it numbs adventurers hands., 15.7, 185.5, 124*, Youtuber, 8, Freezy
172, Strykewyrm_Leafy_Form, Inhabiting the jungles of the Feldip Hills### these strykewrym have adapted to develop a particularly potent poison as a defence mechanism., 15.7, 185.5, 124*, Leafy, 5, Leafy
173, Strykewyrm_Sandy_Form, These monsters burrow under the sands of the Kharidian Desert and burst out the ground to attack unsuspecting victims., 15.7, 185.5, 124*, Sandy, 5, Sandy
174, Strykewyrm_Wildy_Form, A creature of pure fire### this monster originates from the Lava Maze deep in the Wilderness., 15.7, 185.5, 124*, Wildy , 6, Wildy
175, Scorpling, While small### these arachnids pack a real punch if an adventurer gets stung., 3.6, 24.9, 125, Stinging, 8, Scorpion (Small)
176, Scorpion_Normal_Form, These scorpions are far bigger than most adventurers., 13.5, 130.6, 126, RoyalStinge, 11, Scorpion
177, Scorpion_Pit_Form, Scorpions### often nesting in pits### looking for scorpionite to eat., 14.5, 160.4, , Pit, 3, Pit scorpion
178, Scorpion_Poison_Form, The poison they produce is strong enough to kill a Kharidian Sheikah., 14.5, 160.4, , Toxic, 5, Poison scorpion
179, Scorpion_King_Form, Fighting its way to the top### it has become the apex of all scorpions in its group., 16.3, 242.9, , KingStinger, 11, King scorpion
180, Scorpion_Grave_Form, This scorpion got its name for killing a grave digger who dug near a scorpion pit., 14.5, 160.4, , Grave, 5, Grave scorpion
181, Scorpion_Corrupted_Form, Scorpion corrupted by the Devourer### granting it power at the loss of its will., 14.5, 160.4, , Devourer, 8, Corrupted scorpion
182, Scorpion_Reanimated_Form, Unwillingly sent back to the mortal realm### this reanimated being just exists., 14.5, 160.4, , Rewilled, 8, Reanimated scorpion
183, Scorpion_Gauntlet_Crystalline_Form, Uncorrupted### these scorpions find their homes in the Gauntlet., 14.5, 160.4, , Crystalline, 11, Crystalline scorpion
184, Scorpion_Gauntlet_Corrupted_Form, A corrupted crystalline scorpion### now no longer holding a light within it., 14.5, 160.4, , Corrupted, 9, Corrupted crystalline scorpion
185, Scorpion_Khazard_Form, General Khazard's pet. It has been trained to fight his prisoners., 14.5, 160.4, , Khazard, 7, Khazard scorpion
186, Scorpion_Spirit_Form, In the spirit realm they are known as vicious fighters preying on other spirit inhabitants., 14.5, 160.4, , SpiritSting, 11, Spirit scorpion
187, Scorpia, A vicious and cruel beast ready to kill and eat anything willingly entering its domain., 21.3, 498.9, , Vicious, 7, Scorpia
188, Dreadnip, Small and fierce### they will run at any enemy they see trying to eat them, 6.5, 45.5, , Dreadnip, 8, Dreadnip
189, Peepling, Has a curious eye for everything. Many adventurers have gone mad from their stares., 1.8, 36.3, 127, Peeping, 7, Sneakerpeeper Spawn
190, Sneakrpeep, Some say they watch adventurers and their every action to learn. Some theorize they gaze into their soul., 3.5, 114.4, 128, Staring, 7, Sneakerpeeper
191, Runtstable, Made by a Gorajo### it lurks the Polymore Dungeon for food., 6.1, 190.5, 129, Runt, 4, Runtstable
192, Basilisk, With its petrifying gaze### anyone who challenges it without a mirror will be left a garden ornament., 15.5, 635.0, 130, Petrifying, 10, Basilisk
193, Baby_Mole, Small and harmless### it will one day grow big enough to destroy any gardeners dream., 3.6, 95.3, 131, Mole, 4, Baby Mole
194, Giant_Mole, A pest to Gardener Wyson. This mole destroys the Falador garden from below., 20.1, 1810.0, 132, Mole Menace, 11, Giant Mole
